"Monthly average retail prices for selected products 1 2 3"
"Frequency: Monthly"
"Table: 18-10-0245-01"
"Release date: 2025-07-02"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,
"Products","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022"
,"Dollars",,,,,,,,,,,
"Beef stewing cuts, per kilogram 4","17.08","16.44","17.32","18.65","18.80","18.69","18.73","18.51","16.70","18.39","19.18","19.02"
"Beef striploin cuts, per kilogram 4","26.55","26.97","32.72","28.80","24.32","24.19","23.27","22.91","26.25","23.51","21.21","19.53"
"Beef top sirloin cuts, per kilogram 4","19.07","19.59","18.02","19.11","18.71","18.88","18.61","18.75","22.66","16.05","17.55","15.82"
"Beef rib cuts, per kilogram 4","30.21","31.97","28.20","24.03","25.82","24.77","25.99","27.42","26.48","21.23","30.07","21.18"
"Ground beef, per kilogram 4","10.69","10.29","10.11","10.82","10.32","10.28","10.64","10.47","11.54","10.22","10.24","10.92"
"Pork loin cuts, per kilogram 4","9.28","8.22","8.35","9.12","9.05","9.19","8.91","8.55","8.45","8.99","8.14","9.28"
"Pork rib cuts, per kilogram 4","10.73","10.82","10.38","11.44","11.48","11.39","11.45","10.79","10.39","10.33","8.85","10.05"
"Pork shoulder cuts, per kilogram 4","5.46","5.25","6.74","7.51","7.18","6.90","6.18","6.56","7.32","5.05","7.15","6.16"
"Whole chicken, per kilogram 4","5.87","5.65","5.55","5.66","5.75","5.93","5.85","6.08","6.55","5.94","6.37","6.58"
"Chicken breasts, per kilogram 4","13.78","13.67","13.93","15.32","15.04","14.84","15.94","15.12","14.95","13.92","13.77","13.89"
"Chicken thigh, per kilogram 4","10.61","10.66","10.40","11.72","10.92","10.34","11.39","11.63","12.00","11.58","12.01","11.96"
"Chicken drumsticks, per kilogram 4","6.68","6.45","5.79","7.11","6.14","5.94","6.58","7.19","6.51","6.87","6.31","6.48"
"Bacon, 500 grams 5","6.90","7.00","6.98","7.25","7.30","7.01","7.24","7.34","7.33","7.17","7.00","7.50"
"Wieners, 400 grams 5","3.79","3.91","3.85","4.09","3.91","4.05","4.05","4.03","3.90","4.16","4.09","4.14"
"Salmon, per kilogram 4","26.58","25.86","26.51","26.41","29.16","28.15","26.75","26.61","26.43","23.27","25.59","25.12"
